Symbol,Type,Logo
AAPL,Stock,https://i.postimg.cc/zfTYDYxX/pngwing-com-4.png
GOOGL,Stock,https://i.postimg.cc/15W9bSjk/pngwing-com-9.png
AMZN,Stock,https://i.postimg.cc/7YQkmVCD/pngwing-com-5.png
MSFT,Stock,https://i.postimg.cc/76gHRTF9/pngwing-com-17.png
META,Stock,https://i.postimg.cc/cLpNNLMb/pngwing-com-6.png
TSLA,Stock,https://i.postimg.cc/9XbVqVCD/pngwing-com-8.png
F,Stock,https://i.postimg.cc/zXpB5KVP/pngwing-com-15.png
NVDA,Stock,https://i.postimg.cc/858kwb0s/pngwing-com-14.png
ETRN,Stock,https://i.postimg.cc/rwPwRTG1/images-removebg-preview.png
KO,Stock,https://i.postimg.cc/Vkb34cQB/pngwing-com-11.png
NFLX,Stock,https://i.postimg.cc/0Qdvn1SH/pngwing-com-13.png
ADANI,Stock,https://i.postimg.cc/rmcXKZHG/pngwing-com-7.png
INFY,Stock,https://i.postimg.cc/NjSQf4Yb/pngwing-com-10.png
INTC,Stock,https://i.postimg.cc/vTsB8vrC/pngwing-com-18.png
BTC-USD,Crypto,https://i.postimg.cc/8CQHXxDP/1-2.png
ETH-USD,Crypto,https://i.postimg.cc/WpgZp8Bx/1027.png
LEO-USD,Crypto,https://i.postimg.cc/fRtDZ2F9/3957.png
SOL-USD,Crypto,https://i.postimg.cc/rm6pvXws/5426.png
BND-USD,Crypto,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAEAAAABACAYAAACqaXHeAAAFMklEQVR4XtVbvW4TQRhMSWwipYYngCeACsp0pEsJFZTp8gapaXgD6F0gETsIWaRIARIopAAJJAcJCgq4s5M4/zE3l6y1nv253fXe2R5plOR2787f7PfN7u05c3MVIGksLiYbNx92W/XnaavWSFv1TrpZT7Kfg5xXv3fQhj7oi3P4OjOD7ub8ahZUexjguGzW271W/THfZ+qAkYsauMJaI3mzsMz3nThG0rky1jr8OSpHPuJ57fKHq4q1zkRKI9moP5nMqJtYoRBwZ/UDTAdLnzmma9RNLMkb8rRXbjadjF4OfINZIccRhFkaeebYmZCWNMV1390enOy9GAgc7j5T+kRkwnE5oUy3vzxLh8ELXPR/Kv1i0Xt2KCPte1t3OWYtyhLCqxzSyKl//GNdO+omQIQSysKtFGKO/tm/LY5tBEff1wenf17z4REcZ17B1w0llu4cr4I0wuizyelw9ndr2P+iv8fNI4iXDQWLpDRC8KApoMuzZND/uqb0Fzz59ZJPGSJiJphLQdM5mP3dpxxDlhm3lH7M3vs7fNpg/8OS0m8cctw5ktbCMnd0YT9LT8Dk3giIj4EHH5eGAeqEwXm64ygvAcws3O5CrRdc79UpnW1kkzvv7Th9KPYHV9c/+ramzCZBpdGst0eC93V+Dpyxv31POQfEqNrq3OYPmDFsOMxKjs+xsducXx0K4LuPZxKgyOQEdSbpMpI28XwFGMkCpbGALMB5d0c76vAHpCwWQrp6xqgeflpRju9v38/vgTWCrqRgsFwK3gK0JDPkhiKyAEdZgNxHNjnAZJJM2eQEdCJwFgULkLT9H3psAmCki6ALiAXTQe4fQ4D8Iel6Z1dptPEoq3MZsgAuDz3IBlxDnMOCmiB/BlkA/G6abm3Mp8Or11VqowsPPq/kN/cVIBTyvXFfmKLOW1yJ2IPmfyZMSfxelQCnWfD8ObzZrDWC1v+oVz4mWJUAMmGcOl8pZvZwFLLVjZrFqo+Pgy4mGAq+lyCmxBATTPFgpDlYSNm0TNOb7qEmBFhc8bVBni4DBRiMLQCgWweAwiRDgdWhyeSQgTLCBQgsARkmAQSLngEYLsGwsC7naJiXQEfTYKVNAJiR6ckOu0BFwPKYzxM7TPKxOALABAOmwSIBBE5+vxpxZ90mCUO+D2Yb+V5yWxQBMA2GLIRcBQBkk/QVgCG3xRAgXwiFLIV9BABE27QJsL9540H0h6FZEmD4xogbimgTAMTUJe/giOOhAug2RWMIEG0/AGbHfUAx9Ym/fQXAIkg3KyDL4m6IRNoSY9dn+grAxKwAU9XBWwB5Syz/YiN3sNAkgIBp9TaOANgms8FXAOVlqW8WgEUwZQPXLyC/KpOJrXAbcC0+p5CY/xkh06HLEtfkD7JJ6kwOPO9+ka6kQucPLuy9rT3i+HNwRx/a0pv7utIEk2Cu5LiHCHkwkmnKBtGOOjaVBcgbLQyku2+tq6zgDTGyQa5z+fhVIKOvwuQvUMjXEYA/hGx6qiwIHgjxAhMFxN9cJsgG8XJVgM8PMjkDFec3YdxSMJEF0IHPiUeH0RfwfVnqykkK4Dz6AiEPSS607RWaFlDj0vtrcgJlloJskjA53cvVOPRIfR3KKgfQ9C2QWPROexP4wrNCjmMslJkJsRlt5BlphEVS6dy0fA0uBsqaHWIw2O19cV0OHf4AE2M26qWlvQ2TF6LWyXd2J410EiKUXeshwEZDyJsmZzbr7akY8SJc/2NlWwkglFng2Lfk+8wM4M4YuW7T4d/nsz7oW5Wj/wdXGukMTSgLegAAAABJRU5ErkJggg=="
XRP-USD,Crypto,https://i.postimg.cc/bvRzFGWC/52.png
STETH-USD,Crypto,https://i.postimg.cc/YC6khGrr/8085.png
USDC-USD,Crypto,https://i.postimg.cc/MHJqD7WW/3408.png
ADA-USD,Crypto,https://i.postimg.cc/xCz9MxVx/2010.png
FDUSD-USD,Crypto,https://i.postimg.cc/MGcwJPH6/26081.png
FIL-USD,Crypto,https://i.postimg.cc/Y0GcJ83c/2280.png
WETH,Crypto,https://i.postimg.cc/cC7Z5vHf/2396.png
LINK-USD,Crypto,https://i.postimg.cc/zfMJLm6H/1975.png
AVAX-USD,Crypto,https://i.postimg.cc/sDy3G46m/5805.png
WBTC-USD,Crypto,https://i.postimg.cc/1RD9zjH4/3717.png
VBNB-USD,Crypto,https://i.postimg.cc/Z55ZVKhy/7961.png
USDT-USD,Crypto,https://i.postimg.cc/43WD9prg/825.png
SQQQ,ETFs,
SOXL,ETFs,
TQQQ,ETFs,
SPXS,ETFs,
SPY,ETFs,
SOXS,ETFs,
SHTSL,ETFs,
TSLL,ETFs,
IWM,ETFs,
QQQ,ETFs,
EEM,ETFs,
GDX,ETFs,
KRE,ETFs,
LQD,ETFs,
TECE,ETFs,
TLT,ETFs,
TNA,ETFs,
EURUSD,Curreny,
JPY,Curreny,
TMAPX,MF,
BGRIX,MF,
INRUSD,currency,
HKD,currency,
